species,longitude,latitude
Pembalakan,110.46435,-7.48236
Pembalakan,110.43444,-7.42493
Pembalakan,110.43464,-7.42464
Pembalakan,110.43451,-7.42469
Pembalakan,110.42212,-7.41986
Pembalakan,110.42212,-7.41986
Pembalakan,110.42215,-7.42026
Pembalakan,110.42258,-7.42211
Pembalakan,110.46866,-7.47842
Pembalakan,110.4666,-7.4804
Pembalakan,110.43473,-7.42466
Pembalakan,110.4349,-7.42458
Pembalakan,110.43486,-7.42463
Pembalakan,110.43483,-7.42467
Pembalakan,110.43483,-7.42467
Pembalakan,110.43489,-7.4246
Pembalakan,110.41681,-7.43646
Pembalakan,110.42911,-7.40472
Pembalakan,110.4454,-7.40829
Pembalakan,110.42896,-7.4045
Pembalakan,110.42912,-7.40399
Pembalakan,110.42948,-7.40364
Pembalakan,110.42937,-7.40359
Pembalakan,110.42944,-7.40345
Pembalakan,110.43392,-7.41262
Pembalakan,110.43374,-7.41283
Pembalakan,110.43361,-7.41269
Pembalakan,110.4335,-7.41244
Pembalakan,110.43339,-7.41224
Pembalakan,110.43357,-7.41166
Pembalakan,110.43391,-7.41147
Pembalakan,110.43795,-7.413
Pembalakan,110.43309,-7.41824
Pembalakan,110.43307,-7.41824
Pembalakan,110.43388,-7.41629
Pembalakan,110.43388,-7.41629
Pembalakan,110.47239,-7.47335
Pembalakan,110.4536,-7.48665
Pembalakan,110.45161,-7.48521
Pembalakan,110.45165,-7.48532
Pembalakan,110.4503,-7.4833
Pembalakan,110.44922,-7.47947
Pembalakan,110.4487,-7.48035
Pembalakan,110.44895,-7.48171
Pembalakan,110.44896,-7.48174
Pembalakan,110.44898,-7.48175
Pembalakan,110.40966,-7.46282
Pembalakan,110.40975,-7.46284
Pembalakan,110.40478,-7.45854
Pembalakan,110.44157,-7.47727
Pembalakan,110.44244,-7.47941
Pembalakan,110.44216,-7.47951
Pembalakan,110.41144,-7.47478
Pembalakan,110.39663,-7.42857
Pembalakan,110.40019,-7.42961
Pembalakan,110.38904,-7.42512
Pembalakan,110.46076,-7.42061
Pembalakan,110.4409,-7.4842
Pembalakan,110.44486,-7.48116
Pembalakan,110.40829,-7.45336
Pembalakan,110.41018,-7.44969
Pembalakan,110.44265,-7.40092
Pembalakan,110.42112,-7.40004
Pembalakan,110.46842,-7.46871
Pembalakan,110.46883,-7.46867
Pembalakan,110.46876,-7.46867
Pembalakan,110.46882,-7.46872
Pembalakan,110.4543,-7.41468
Pembalakan,110.45568,-7.41371
Pembalakan,110.45634,-7.41332
Pembalakan,110.45631,-7.4133
Pembalakan,110.45413,-7.41092
Pembalakan,110.45384,-7.41009
Pembalakan,110.45238,-7.40886
Pembalakan,110.45107,-7.41031
Pembalakan,110.44207,-7.40285
Pembalakan,110.44172,-7.40222
Pembalakan,110.44992,-7.41143
Pembalakan,110.44222,-7.40225
Pembalakan,110.44299,-7.41453
Pembalakan,110.44526,-7.41348
Pembalakan,110.44872,-7.40395
Pembalakan,110.44739,-7.40284
Pembalakan,110.44746,-7.40268
Pembalakan,110.44826,-7.40282
Pembalakan,110.44824,-7.40288
Pembalakan,110.41004,-7.44962
Pembalakan,110.4174,-7.4221
Pembalakan,110.4345,-7.48351
Pembalakan,110.4345,-7.48347
Pembalakan,110.44093,-7.48401
Pembalakan,110.44109,-7.48371
Pembalakan,110.44096,-7.48372
Pembalakan,110.44111,-7.48368
Pembalakan,110.44188,-7.48328
Pembalakan,110.44187,-7.48325
Pembalakan,110.44192,-7.4838
Pembalakan,110.44194,-7.48381
Pembalakan,110.4245,-7.47522
Pembalakan,110.4245,-7.47527
Pembalakan,110.44444,-7.48371
Pembalakan,110.4444,-7.48369
Pembalakan,110.44447,-7.48397
Pembalakan,110.44461,-7.48416
Pembalakan,110.44468,-7.48426
Pembalakan,110.44463,-7.48456
Pembalakan,110.44462,-7.48458
Pembalakan,110.4447,-7.48561
Pembalakan,110.4447,-7.48558
Pembalakan,110.44467,-7.48545
Pembalakan,110.44466,-7.48548
Pembalakan,110.4443,-7.48492
Pembalakan,110.44346,-7.48471
Pembalakan,110.44347,-7.48471
Pembalakan,110.4238,-7.48412
Pembalakan,110.4267,-7.48071
Pembalakan,110.42685,-7.48085
Pembalakan,110.42691,-7.48091
Pembalakan,110.41177,-7.44182
Pembalakan,110.41202,-7.44032
Pembalakan,110.40622,-7.43593
Pembalakan,110.39244,-7.45786
Pembalakan,110.42939,-7.40248
Pembalakan,110.42939,-7.40248
Pembalakan,110.42939,-7.40248
Pembalakan,110.42939,-7.40248
